ISSN,Título,Estrato
0102-5902,ARQUIVOS DO CENTRO DE ESTUDOS DO CURSO DE ODONTOLOGIA (CESSOU EM 1996. CONT. 1516-0939 ARQUIVOS EM ODONTOLOGIA),B2
1808-1657,ARQUIVOS DO INSTITUTO BIOLÓGICO (ONLINE),A4
2178-1990,ARQUIVOS EM ODONTOLOGIA,B2
1516-0939,ARQUIVOS EM ODONTOLOGIA,B2
1809-3019,ARQUIVOS MÉDICOS DOS HOSPITAIS E DA FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO (ONLINE),B3
2326-5205,ARTHRITIS & RHEUMATOLOGY,A1
0160-564X,ARTIFICIAL ORGANS,A3
2091-0576,ASIAN JOURNAL OF MEDICAL SCIENCES,C
2476-762X,ASIAN PACIFIC JOURNAL OF CANCER PREVENTION,B1
1759-0914,ASN NEURO,A2
1540-658X,ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,B2
0940-516X,ATHENÄUM: JAHRBUCH DER FRIEDRICH SCHLEGEL-GESELLSCHAFT,C
0261-1929,ATLA. ALTERNATIVES TO LABORATORY ANIMALS,A3
2317-6431,AUDIOLOGY - COMMUNICATION RESEARCH (ACR),B1
0385-8146,"AURIS, NASUS, LARYNX",A3
0004-8380,AUSTRALASIAN JOURNAL OF DERMATOLOGY (PRINT),A4
2207-7472,AUSTRALASIAN ORTHODONTIC JOURNAL,B1
0045-0421,AUSTRALIAN DENTAL JOURNAL (PRINT),A3
1747-4477,AUSTRALIAN ENDODONTIC JOURNAL,A3
0045-0618,AUSTRALIAN JOURNAL OF FORENSIC SCIENCE (PRINT),A4
1362-3613,AUTISM (LONDON),A1
2090-0430,AUTOIMMUNE DISEASES,C
0891-6934,AUTOIMMUNITY (AMSTERDAM. PRINT),A4
2236-1960,AUTOPSY AND CASE REPORTS,C
0121-4500,AVANCES EN ENFERMERIA,A4
2423-7582,AVICENNA JOURNAL OF DENTAL RESEARCH,B4
2056-807X,BDJ OPEN,A3
2076-328X,BEHAVIORAL SCIENCES (ONLINE),A3
1540-2002,BEHAVIORAL SLEEP MEDICINE,A1
0166-4328,BEHAVIOURAL BRAIN RESEARCH,A3
0955-8810,BEHAVIOURAL PHARMACOLOGY,A4
